show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s21,TV Show,Stranger Things 195,Rawson Marshall Thurber,Úrsula Corberó|Álvaro Morte,United States,30-Nov-25,2024,TV-MA,7 Seasons,"Crime, Drama",A compelling story of courage and survival.
s22,TV Show,Manifest 83,Tim Burton,Chris Hemsworth|Rudhraksh Jaiswal,Brazil,10-Apr-16,1994,TV-14,3 Seasons,"Romance, Drama",An emotional journey of hope and resilience.
s23,Movie,Wednesday Files 84,Joe Russo,Henry Cavill|Sam Claflin,Canada,22-Nov-15,2006,TV-14,149 min,"Crime, Comedy",Friends face extraordinary challenges together.
s24,TV Show,Bridgerton 324,Shawn Levy,Ryan Reynolds|Gal Gadot,Japan,23-Sep-21,2026,TV-MA,3 Seasons,"Comedy, Sci-Fi & Fantasy",A thrilling adventure filled with suspense.
s25,TV Show,Wednesday 901,Sam Hargrave,Robert De Niro|Al Pacino,South Korea,30-Oct-22,2000,PG-13,3 Seasons,"Sci-Fi & Fantasy, Documentaries",An emotional journey of hope and resilience.
s26,Movie,Money Heist 962,Tim Burton,Millie Bobby Brown|Finn Wolfhard,India,18-Sep-21,1996,R,160 min,"Action & Adventure, Documentaries",Friends face extraordinary challenges together.
s27,Movie,The Gray Man 704,Harry Bradbeer,Millie Bobby Brown|Finn Wolfhard,Germany,9-Sep-22,2021,PG,166 min,"Drama, Documentaries",A mystery unfolds with unexpected twists.
s28,TV Show,Ozark 790,Tim Burton,Millie Bobby Brown|Finn Wolfhard,United Kingdom,30-Jan-15,2018,R,1 Seasons,"Romance, Sci-Fi & Fantasy",A compelling story of courage and survival.
s29,Movie,You 37,Anthony Russo,Henry Cavill|Sam Claflin,United Kingdom,6-May-18,2017,TV-14,84 min,"Drama, Action & Adventure",Friends face extraordinary challenges together.
s30,Movie,Enola Holmes 683,Shawn Levy,Robert De Niro|Al Pacino,Germany,17-Sep-19,2016,R,120 min,"Action & Adventure, Comedy",A thrilling adventure filled with suspense.
s31,Movie,The Irishman 755,Anthony Russo,Ryan Gosling|Chris Evans,Spain,23-Jul-15,2007,TV-14,127 min,"Comedy, Thriller",A compelling story of courage and survival.
s32,TV Show,Bridgerton 359,Rawson Marshall Thurber,Úrsula Corberó|Álvaro Morte,Spain,23-Jun-19,1991,TV-14,4 Seasons,"Romance, Action & Adventure",Friends face extraordinary challenges together.
s33,Movie,Dark 657,The Duffer Brothers,Ryan Gosling|Chris Evans,Germany,5-Apr-21,2011,TV-MA,173 min,"Comedy, Action & Adventure",A thrilling adventure filled with suspense.
s34,TV Show,Wednesday Files 445,Anthony Russo,Robert De Niro|Al Pacino,France,7-Jun-17,2022,TV-MA,1 Seasons,"Romance, Sci-Fi & Fantasy",A thrilling adventure filled with suspense.
s35,TV Show,Red Notice 533,The Duffer Brothers,Úrsula Corberó|Álvaro Morte,Canada,12-Oct-24,2017,TV-MA,1 Seasons,"Crime, Sci-Fi & Fantasy",Friends face extraordinary challenges together.
s36,Movie,Manifest 317,Harry Bradbeer,Ryan Gosling|Chris Evans,Canada,26-Sep-21,2015,PG,167 min,"Action & Adventure, Comedy",A mystery unfolds with unexpected twists.
s37,TV Show,Narcos 562,Martin Scorsese,Millie Bobby Brown|Finn Wolfhard,South Korea,1-Oct-21,2003,PG-13,3 Seasons,"Crime, Thriller",A mystery unfolds with unexpected twists.
s38,TV Show,Lucifer 813,Tim Burton,Chris Hemsworth|Rudhraksh Jaiswal,South Korea,19-Jun-26,2022,R,4 Seasons,"Crime, Drama",A thrilling adventure filled with suspense.
s39,TV Show,Stranger Things 26,Martin Scorsese,Úrsula Corberó|Álvaro Morte,Japan,20-Jun-19,1994,PG-13,4 Seasons,"Romance, Crime",An emotional journey of hope and resilience.
s40,Movie,Lucifer 410,Sam Hargrave,Jenna Ortega|Luis Guzmán,United States,12-Aug-23,1996,PG-13,166 min,"Thriller, Comedy",An emotional journey of hope and resilience.
s41,TV Show,Money Heist 468,Tim Burton,Lee Jung-jae|Park Hae-soo,Germany,3-Aug-20,2025,R,1 Seasons,"Crime, Romance",A mystery unfolds with unexpected twists.
s42,TV Show,Lucifer 461,Rawson Marshall Thurber,Úrsula Corberó|Álvaro Morte,South Korea,27-Jul-18,2023,PG-13,8 Seasons,"Thriller, Action & Adventure",A mystery unfolds with unexpected twists.
s43,Movie,Enola Holmes 279,Anthony Russo,Robert De Niro|Al Pacino,Germany,29-May-21,1995,TV-14,166 min,"Action & Adventure, Comedy",A mystery unfolds with unexpected twists.
s44,Movie,Wednesday 425,Joe Russo,Robert De Niro|Al Pacino,Germany,19-Oct-19,2019,PG-13,165 min,"Drama, Comedy",A mystery unfolds with unexpected twists.
s45,TV Show,Lucifer 7,Anthony Russo,Millie Bobby Brown|Finn Wolfhard,France,14-Jul-23,2016,R,1 Seasons,"Thriller, Documentaries",A thrilling adventure filled with suspense.
s46,TV Show,Red Notice 399,Anthony Russo,Ryan Gosling|Chris Evans,United Kingdom,22-Nov-25,2019,TV-14,7 Seasons,"Drama, Thriller",An emotional journey of hope and resilience.
s47,Movie,Stranger Things 888,Álex Pina,Jenna Ortega|Luis Guzmán,United States,12-Aug-24,2006,PG-13,85 min,"Crime, Comedy",A mystery unfolds with unexpected twists.
s48,TV Show,Squid Game 771,Joe Russo,Millie Bobby Brown|Finn Wolfhard,India,3-Jul-23,2020,TV-MA,6 Seasons,"Drama, Action & Adventure",A thrilling adventure filled with suspense.
s49,Movie,Red Notice 973,Sam Hargrave,Úrsula Corberó|Álvaro Morte,United States,26-Nov-15,1999,TV-14,174 min,"Action & Adventure, Thriller",A compelling story of courage and survival.
s50,Movie,Dark 172,Hwang Dong-hyuk,Chris Hemsworth|Rudhraksh Jaiswal,United Kingdom,30-Sep-20,2009,TV-MA,134 min,"Drama, Action & Adventure",An emotional journey of hope and resilience.
s51,TV Show,Wednesday 607,Harry Bradbeer,Úrsula Corberó|Álvaro Morte,India,13-Jun-19,2009,R,7 Seasons,"Comedy, Romance",An emotional journey of hope and resilience.
s52,Movie,Dark 71,The Duffer Brothers,Robert De Niro|Al Pacino,United States,10-Aug-24,2016,PG-13,119 min,"Comedy, Thriller",Friends face extraordinary challenges together.
s53,TV Show,The Irishman 752,The Duffer Brothers,Millie Bobby Brown|Finn Wolfhard,Brazil,7-Oct-24,2024,PG-13,3 Seasons,"Documentaries, Thriller",An emotional journey of hope and resilience.
s54,TV Show,Wednesday 286,Álex Pina,Úrsula Corberó|Álvaro Morte,Japan,4-Jul-20,2026,R,6 Seasons,"Romance, Action & Adventure",A compelling story of courage and survival.
s55,TV Show,Lucifer 218,Anthony Russo,Millie Bobby Brown|Finn Wolfhard,Canada,29-Jan-19,2007,R,6 Seasons,"Sci-Fi & Fantasy, Documentaries",A compelling story of courage and survival.
s56,Movie,The Crown 501,The Duffer Brothers,Úrsula Corberó|Álvaro Morte,Japan,31-May-20,2021,PG-13,85 min,"Drama, Documentaries",Friends face extraordinary challenges together.
s57,Movie,The Adam Project 680,Hwang Dong-hyuk,Robert De Niro|Al Pacino,Japan,16-Jun-20,2025,R,126 min,"Crime, Thriller",An emotional journey of hope and resilience.
s58,TV Show,Squid Game 314,Rawson Marshall Thurber,Úrsula Corberó|Álvaro Morte,India,6-Mar-25,2002,PG,6 Seasons,"Comedy, Crime",An emotional journey of hope and resilience.
s59,Movie,Lucifer 284,Hwang Dong-hyuk,Henry Cavill|Sam Claflin,Brazil,8-Nov-19,2008,TV-MA,99 min,"Thriller, Action & Adventure",A thrilling adventure filled with suspense.
s60,TV Show,Red Notice 726,The Duffer Brothers,Jenna Ortega|Luis Guzmán,South Korea,12-Oct-21,1992,TV-MA,3 Seasons,"Sci-Fi & Fantasy, Crime",A thrilling adventure filled with suspense.
s61,TV Show,Outer Banks 292,Álex Pina,Lee Jung-jae|Park Hae-soo,Japan,11-Apr-15,2011,TV-14,2 Seasons,"Drama, Action & Adventure",A mystery unfolds with unexpected twists.
s62,Movie,Narcos 504,Shawn Levy,Ryan Reynolds|Gal Gadot,United Kingdom,19-Jun-16,1999,R,180 min,"Sci-Fi & Fantasy, Drama",A thrilling adventure filled with suspense.
s63,Movie,Wednesday Files 611,Hwang Dong-hyuk,Úrsula Corberó|Álvaro Morte,Germany,2-May-24,2014,PG-13,146 min,"Documentaries, Action & Adventure",An emotional journey of hope and resilience.
s64,TV Show,Wednesday Files 984,Shawn Levy,Úrsula Corberó|Álvaro Morte,Spain,8-May-16,2006,TV-MA,5 Seasons,"Action & Adventure, Comedy",A thrilling adventure filled with suspense.
s65,Movie,The Crown 462,Hwang Dong-hyuk,Lee Jung-jae|Park Hae-soo,South Korea,22-Jan-15,1992,TV-14,95 min,"Sci-Fi & Fantasy, Crime",Friends face extraordinary challenges together.
s66,TV Show,Squid Game 807,Harry Bradbeer,Úrsula Corberó|Álvaro Morte,France,27-Mar-20,1997,R,2 Seasons,"Thriller, Crime",A thrilling adventure filled with suspense.
s67,TV Show,Extraction 170,Rawson Marshall Thurber,Millie Bobby Brown|Finn Wolfhard,Japan,7-Aug-16,1997,PG-13,3 Seasons,"Sci-Fi & Fantasy, Crime",A mystery unfolds with unexpected twists.
s68,TV Show,Wednesday 613,Martin Scorsese,Ryan Gosling|Chris Evans,Canada,26-Oct-24,2006,TV-MA,8 Seasons,"Comedy, Documentaries",An emotional journey of hope and resilience.
s69,Movie,Outer Banks 42,Tim Burton,Lee Jung-jae|Park Hae-soo,Germany,16-Jan-21,2018,PG,172 min,"Action & Adventure, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s70,TV Show,Dark 419,Anthony Russo,Robert De Niro|Al Pacino,India,17-Jul-25,2000,PG,2 Seasons,"Romance, Crime",A mystery unfolds with unexpected twists.
s71,TV Show,Bridgerton 91,Anthony Russo,Millie Bobby Brown|Finn Wolfhard,Canada,28-Oct-15,1997,PG-13,7 Seasons,"Drama, Crime",An emotional journey of hope and resilience.
s72,TV Show,The Gray Man 531,Anthony Russo,Lee Jung-jae|Park Hae-soo,Japan,20-Mar-16,1993,TV-14,7 Seasons,"Sci-Fi & Fantasy, Documentaries",A thrilling adventure filled with suspense.
s73,TV Show,Money Heist 30,Harry Bradbeer,Úrsula Corberó|Álvaro Morte,United Kingdom,14-Nov-25,2009,R,8 Seasons,"Drama, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s74,Movie,Bridgerton 970,Shawn Levy,Jenna Ortega|Luis Guzmán,Japan,18-Jul-17,2008,R,103 min,"Sci-Fi & Fantasy, Thriller",A mystery unfolds with unexpected twists.
s75,TV Show,You 149,Joe Russo,Úrsula Corberó|Álvaro Morte,Brazil,30-Mar-25,2022,TV-14,4 Seasons,"Comedy, Action & Adventure",A mystery unfolds with unexpected twists.
s76,TV Show,The Adam Project 744,Rawson Marshall Thurber,Lee Jung-jae|Park Hae-soo,United Kingdom,22-Jan-15,2018,R,5 Seasons,"Documentaries, Action & Adventure",Friends face extraordinary challenges together.
s77,TV Show,The Gray Man 715,Sam Hargrave,Ryan Gosling|Chris Evans,Spain,21-Mar-22,2016,TV-MA,8 Seasons,"Crime, Documentaries",A mystery unfolds with unexpected twists.
s78,TV Show,Lucifer 988,Martin Scorsese,Jenna Ortega|Luis Guzmán,Germany,31-May-18,2011,TV-MA,7 Seasons,"Documentaries, Drama",An emotional journey of hope and resilience.
s79,TV Show,The Crown 892,Harry Bradbeer,Jenna Ortega|Luis Guzmán,India,26-Mar-18,2020,PG,1 Seasons,"Crime, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s80,Movie,Ozark 642,Álex Pina,Henry Cavill|Sam Claflin,United States,11-Jul-23,1994,TV-14,117 min,"Sci-Fi & Fantasy, Comedy",A compelling story of courage and survival.
s81,TV Show,Bridgerton 171,Rawson Marshall Thurber,Ryan Reynolds|Gal Gadot,United States,3-Apr-17,2010,TV-MA,2 Seasons,"Sci-Fi & Fantasy, Action & Adventure",Friends face extraordinary challenges together.
s82,TV Show,Manifest 422,Hwang Dong-hyuk,Jenna Ortega|Luis Guzmán,United Kingdom,23-Jun-20,2001,TV-MA,3 Seasons,"Romance, Sci-Fi & Fantasy",A thrilling adventure filled with suspense.
s83,TV Show,Bridgerton 654,Rawson Marshall Thurber,Lee Jung-jae|Park Hae-soo,South Korea,17-Mar-20,1990,PG-13,3 Seasons,"Sci-Fi & Fantasy, Crime",An emotional journey of hope and resilience.
s84,Movie,Dark 602,Rawson Marshall Thurber,Ryan Gosling|Chris Evans,South Korea,27-Nov-24,2019,PG,84 min,"Thriller, Documentaries",A mystery unfolds with unexpected twists.
s85,Movie,Outer Banks 368,Hwang Dong-hyuk,Millie Bobby Brown|Finn Wolfhard,South Korea,22-Jul-23,1991,PG-13,105 min,"Sci-Fi & Fantasy, Drama",An emotional journey of hope and resilience.
s86,Movie,The Adam Project 795,Sam Hargrave,Robert De Niro|Al Pacino,Spain,21-Feb-26,2002,R,152 min,"Sci-Fi & Fantasy, Crime",A thrilling adventure filled with suspense.
s87,Movie,The Adam Project 808,Álex Pina,Ryan Reynolds|Gal Gadot,Brazil,19-Nov-15,2013,TV-14,155 min,"Comedy, Action & Adventure",Friends face extraordinary challenges together.
s88,TV Show,Stranger Things 806,The Duffer Brothers,Robert De Niro|Al Pacino,Germany,3-Jul-19,2022,PG,3 Seasons,"Action & Adventure, Documentaries",A mystery unfolds with unexpected twists.
s89,TV Show,Bridgerton 987,Shawn Levy,Jenna Ortega|Luis Guzmán,Spain,1-Aug-17,2015,R,6 Seasons,"Crime, Drama",A mystery unfolds with unexpected twists.
s90,Movie,Bridgerton 378,Harry Bradbeer,Millie Bobby Brown|Finn Wolfhard,Brazil,9-Oct-17,2014,PG,108 min,"Comedy, Crime",A thrilling adventure filled with suspense.
s91,TV Show,Wednesday Files 227,Harry Bradbeer,Chris Hemsworth|Rudhraksh Jaiswal,Japan,11-May-22,2009,PG-13,1 Seasons,"Comedy, Documentaries",A compelling story of courage and survival.
s92,Movie,Money Heist 100,Sam Hargrave,Henry Cavill|Sam Claflin,United Kingdom,18-Jan-26,2014,PG-13,113 min,"Crime, Documentaries",An emotional journey of hope and resilience.
s93,TV Show,Money Heist 854,Álex Pina,Ryan Gosling|Chris Evans,South Korea,21-Apr-24,1992,PG,3 Seasons,"Thriller, Documentaries",A mystery unfolds with unexpected twists.
s94,Movie,Dark 558,Harry Bradbeer,Robert De Niro|Al Pacino,United States,24-Mar-17,2015,PG,121 min,"Thriller, Drama",A mystery unfolds with unexpected twists.
s95,Movie,Wednesday Files 995,Martin Scorsese,Ryan Reynolds|Gal Gadot,Canada,4-Oct-19,2005,TV-14,159 min,"Thriller, Drama",An emotional journey of hope and resilience.
s96,Movie,Enola Holmes 337,Tim Burton,Ryan Reynolds|Gal Gadot,South Korea,5-Nov-19,1999,TV-14,150 min,"Sci-Fi & Fantasy, Romance",A thrilling adventure filled with suspense.
s97,Movie,Stranger Things 16,Anthony Russo,Úrsula Corberó|Álvaro Morte,Brazil,31-Jul-15,2010,TV-MA,159 min,"Action & Adventure, Documentaries",A compelling story of courage and survival.
s98,Movie,Manifest 117,Shawn Levy,Lee Jung-jae|Park Hae-soo,Japan,10-Jun-24,2013,R,169 min,"Comedy, Thriller",An emotional journey of hope and resilience.
s99,Movie,Manifest 309,Álex Pina,Ryan Reynolds|Gal Gadot,United States,22-Dec-15,2020,PG-13,153 min,"Romance, Crime",A compelling story of courage and survival.
s100,TV Show,Wednesday 330,Hwang Dong-hyuk,Jenna Ortega|Luis Guzmán,India,25-Aug-16,1998,PG,8 Seasons,"Crime, Thriller",An emotional journey of hope and resilience.
s101,TV Show,Wednesday Files 441,Shawn Levy,Chris Hemsworth|Rudhraksh Jaiswal,Germany,4-May-26,2003,PG-13,8 Seasons,"Documentaries, Comedy",A mystery unfolds with unexpected twists.
s102,TV Show,The Crown 748,Shawn Levy,Robert De Niro|Al Pacino,France,11-Dec-23,2010,PG,8 Seasons,"Crime, Comedy",A mystery unfolds with unexpected twists.
s103,Movie,Wednesday 443,Shawn Levy,Robert De Niro|Al Pacino,United Kingdom,30-Nov-16,2025,TV-MA,86 min,"Crime, Documentaries",A compelling story of courage and survival.
s104,TV Show,Extraction 992,Rawson Marshall Thurber,Millie Bobby Brown|Finn Wolfhard,Canada,26-Jun-24,1996,R,6 Seasons,"Thriller, Comedy",A mystery unfolds with unexpected twists.
s105,Movie,You 377,Shawn Levy,Millie Bobby Brown|Finn Wolfhard,Brazil,8-Nov-22,2004,PG-13,88 min,"Drama, Sci-Fi & Fantasy",Friends face extraordinary challenges together.
s106,Movie,The Adam Project 944,Anthony Russo,Robert De Niro|Al Pacino,United States,16-Feb-21,2001,TV-14,98 min,"Romance, Drama",A thrilling adventure filled with suspense.
s107,Movie,Narcos 430,Álex Pina,Robert De Niro|Al Pacino,United Kingdom,29-Oct-19,2013,PG,86 min,"Crime, Romance",An emotional journey of hope and resilience.
s108,Movie,The Irishman 773,Hwang Dong-hyuk,Ryan Reynolds|Gal Gadot,India,28-Jun-18,2007,PG-13,81 min,"Romance, Thriller",An emotional journey of hope and resilience.
s109,TV Show,The Gray Man 774,The Duffer Brothers,Chris Hemsworth|Rudhraksh Jaiswal,Canada,15-Feb-21,2017,TV-MA,7 Seasons,"Sci-Fi & Fantasy, Crime",An emotional journey of hope and resilience.
s110,TV Show,Enola Holmes 405,Hwang Dong-hyuk,Ryan Reynolds|Gal Gadot,United States,8-Jan-16,2003,PG,5 Seasons,"Thriller, Romance",A thrilling adventure filled with suspense.
s111,TV Show,Money Heist 8,Álex Pina,Ryan Gosling|Chris Evans,United Kingdom,11-May-22,1998,PG-13,5 Seasons,"Thriller, Sci-Fi & Fantasy",An emotional journey of hope and resilience.
s112,TV Show,Extraction 447,Martin Scorsese,Lee Jung-jae|Park Hae-soo,India,27-Nov-23,2010,R,2 Seasons,"Romance, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s113,TV Show,Narcos 22,Anthony Russo,Jenna Ortega|Luis Guzmán,Brazil,1-Aug-17,2019,PG,5 Seasons,"Comedy, Thriller",A compelling story of courage and survival.
s114,Movie,Manifest 81,Joe Russo,Millie Bobby Brown|Finn Wolfhard,Canada,25-Dec-23,2004,PG,130 min,"Action & Adventure, Drama",An emotional journey of hope and resilience.
s115,Movie,The Gray Man 928,Anthony Russo,Robert De Niro|Al Pacino,United Kingdom,9-Jun-26,2005,TV-MA,142 min,"Action & Adventure, Documentaries",A thrilling adventure filled with suspense.
s116,Movie,Wednesday 182,Harry Bradbeer,Lee Jung-jae|Park Hae-soo,Japan,6-Jun-18,2026,R,152 min,"Documentaries, Crime",An emotional journey of hope and resilience.
s117,TV Show,Bridgerton 70,Álex Pina,Lee Jung-jae|Park Hae-soo,South Korea,21-May-18,2007,R,6 Seasons,"Drama, Action & Adventure",An emotional journey of hope and resilience.
s118,Movie,Bridgerton 39,Martin Scorsese,Robert De Niro|Al Pacino,South Korea,10-May-25,1994,TV-MA,114 min,"Romance, Thriller",An emotional journey of hope and resilience.
s119,Movie,Ozark 620,Álex Pina,Henry Cavill|Sam Claflin,United Kingdom,23-Mar-19,1993,PG-13,132 min,"Comedy, Romance",Friends face extraordinary challenges together.
s120,Movie,Extraction 254,Álex Pina,Lee Jung-jae|Park Hae-soo,Germany,14-Nov-18,2023,R,139 min,"Action & Adventure, Documentaries",Friends face extraordinary challenges together.
s121,TV Show,Ozark 696,Hwang Dong-hyuk,Ryan Reynolds|Gal Gadot,Canada,2-Mar-24,1994,PG,7 Seasons,"Comedy, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s122,TV Show,Ozark 84,Hwang Dong-hyuk,Jenna Ortega|Luis Guzmán,Canada,16-May-18,2009,PG-13,5 Seasons,"Action & Adventure, Sci-Fi & Fantasy",A compelling story of courage and survival.
s123,TV Show,Stranger Things 687,Harry Bradbeer,Henry Cavill|Sam Claflin,India,14-May-22,2017,R,7 Seasons,"Crime, Drama",Friends face extraordinary challenges together.
s124,TV Show,Ozark 971,Álex Pina,Úrsula Corberó|Álvaro Morte,Spain,21-Oct-19,1998,TV-14,3 Seasons,"Comedy, Action & Adventure",A compelling story of courage and survival.
s125,Movie,Wednesday Files 135,Hwang Dong-hyuk,Ryan Gosling|Chris Evans,United Kingdom,21-Jul-22,2000,TV-14,159 min,"Action & Adventure, Crime",A mystery unfolds with unexpected twists.
s126,Movie,Enola Holmes 993,Álex Pina,Millie Bobby Brown|Finn Wolfhard,Japan,4-Mar-23,2004,R,127 min,"Thriller, Action & Adventure",A mystery unfolds with unexpected twists.
s127,Movie,Bridgerton 788,Rawson Marshall Thurber,Ryan Gosling|Chris Evans,Germany,18-Nov-24,2023,PG-13,122 min,"Action & Adventure, Romance",A thrilling adventure filled with suspense.
s128,Movie,Lucifer 896,Anthony Russo,Henry Cavill|Sam Claflin,India,3-Mar-16,2023,TV-MA,107 min,"Sci-Fi & Fantasy, Drama",A thrilling adventure filled with suspense.
s129,TV Show,The Crown 94,Sam Hargrave,Lee Jung-jae|Park Hae-soo,Canada,22-Apr-18,1991,PG-13,8 Seasons,"Drama, Thriller",An emotional journey of hope and resilience.
s130,TV Show,Wednesday 384,Sam Hargrave,Ryan Reynolds|Gal Gadot,Canada,30-Aug-23,1996,PG,4 Seasons,"Action & Adventure, Comedy",A compelling story of courage and survival.
s131,TV Show,Lucifer 460,Hwang Dong-hyuk,Ryan Reynolds|Gal Gadot,India,10-Feb-18,1991,PG,8 Seasons,"Thriller, Romance",A thrilling adventure filled with suspense.
s132,TV Show,Enola Holmes 309,Shawn Levy,Ryan Reynolds|Gal Gadot,Spain,18-Jun-21,2016,R,2 Seasons,"Documentaries, Drama",A compelling story of courage and survival.
s133,TV Show,Stranger Things 299,Joe Russo,Ryan Reynolds|Gal Gadot,Brazil,4-Jun-20,2012,TV-14,1 Seasons,"Romance, Comedy",A compelling story of courage and survival.
s134,TV Show,Manifest 568,Martin Scorsese,Ryan Gosling|Chris Evans,Japan,19-May-26,1992,PG-13,2 Seasons,"Crime, Action & Adventure",A compelling story of courage and survival.
s135,TV Show,Enola Holmes 751,Harry Bradbeer,Chris Hemsworth|Rudhraksh Jaiswal,Brazil,25-Sep-22,2011,TV-14,2 Seasons,"Drama, Action & Adventure",An emotional journey of hope and resilience.
s136,TV Show,Lucifer 647,Tim Burton,Jenna Ortega|Luis Guzmán,India,3-Jun-25,2019,TV-MA,3 Seasons,"Sci-Fi & Fantasy, Comedy",A compelling story of courage and survival.
s137,Movie,The Adam Project 528,Joe Russo,Henry Cavill|Sam Claflin,Japan,29-Jan-22,2006,TV-MA,80 min,"Thriller, Action & Adventure",Friends face extraordinary challenges together.
s138,Movie,Squid Game 128,Anthony Russo,Ryan Gosling|Chris Evans,France,12-Jun-22,2018,PG-13,158 min,"Crime, Comedy",A mystery unfolds with unexpected twists.
s139,TV Show,Wednesday 745,Joe Russo,Chris Hemsworth|Rudhraksh Jaiswal,France,24-Dec-20,2001,R,6 Seasons,"Sci-Fi & Fantasy, Action & Adventure",A compelling story of courage and survival.
s140,Movie,The Adam Project 457,Hwang Dong-hyuk,Ryan Gosling|Chris Evans,United Kingdom,18-Aug-21,2018,PG,116 min,"Documentaries, Drama",Friends face extraordinary challenges together.
s141,TV Show,Wednesday 688,Harry Bradbeer,Ryan Gosling|Chris Evans,Canada,14-Apr-16,2022,TV-14,5 Seasons,"Drama, Comedy",An emotional journey of hope and resilience.
s142,TV Show,Wednesday 242,Harry Bradbeer,Robert De Niro|Al Pacino,Canada,31-Oct-17,2014,R,1 Seasons,"Drama, Sci-Fi & Fantasy",A thrilling adventure filled with suspense.
s143,TV Show,Bridgerton 782,Shawn Levy,Jenna Ortega|Luis Guzmán,Germany,6-May-23,2013,PG-13,6 Seasons,"Crime, Documentaries",Friends face extraordinary challenges together.
